Cid,Cname,Address
char3,char15,char15
C01,Horne,Washington
C02,Spears,Springfield
C03,Lawrence,Franklin
C04,Barrett,Clinton
C05,Bradshaw,Greenville
C06,Valencia,Bristol
C07,Hendrix,Fairview
C08,Carroll,Salem
C09,Frederick,Madison
C10,Greene,Georgetown
C11,Nash,Arlington
C12,Pineda,Ashland
C13,Sanford,Dover
C14,Dorsey,Oxford
C15,David,Jackson
C16,Hamilton,Burlington
C17,Downs,Manchester
C18,Scott,Milton
C19,Williams,Newport
C20,Rios,Auborn
C21,Joyce,Centerville
C22,Cruz,Clayton
C23,Perkins,Dayton
C24,Gould,Lexington
C25,Maxwell,Milford
C26,Snyder,Oakland
C27,Mercado,Winchester
C28,Fields,Cleveland
C29,Riggs,Hudson
C30,David,Kingston
