Cid,Iid,PurchaseDate,Quantity,Ccno
char3,char3,date,integer,integer
C01,I07,181010,4,103570287
C01,I42,180505,10,105379286
C01,I51,190606,1,103570287
C01,I31,181213,3,105379286
C01,I19,180714,6,105379286
C02,I60,190323,2,122428087
C02,I39,190430,1,155933579
C02,I17,180515,6,122428087
C02,I01,180323,4,155933579
C02,I41,180929,1,155933579
C03,I07,190222,1,188520364
C03,I27,190115,5,188520364
C03,I49,180909,2,188520364
C03,I31,180323,5,188520364
C04,I53,190525,2,247010852
C04,I55,180818,1,247010852
C04,I43,190426,4,247010852
C04,I52,190617,4,247010852
C04,I44,181014,2,247010852
C05,I43,181121,10,273726939
C05,I44,180830,5,298433300
C05,I11,180229,2,273726939
C05,I41,180917,1,298433300
C06,I12,190414,2,298433300
C06,I36,190331,1,298433300
C06,I29,190323,9,298433300
C06,I06,180603,10,298433300
C06,I13,190519,4,298433300
C07,I37,180327,1,324728798
C07,I49,181231,1,324728798
C07,I21,180930,9,324728798
C07,I25,190104,10,324728798
C08,I53,190131,3,331689915
C08,I54,181224,1,340528397
C08,I59,180804,3,331689915
C08,I32,190617,10,340528397
C08,I14,180728,1,331689915
C09,I02,190323,2,342655122
C09,I08,181226,7,381681932
C09,I38,181128,7,342655122
C09,I10,180818,9,381681932
C09,I33,190104,1,342655122
C09,I20,180327,2,381681932
C09,I34,180929,3,342655122
C11,I26,181231,1,490044192
C12,I48,180818,1,490044192
C12,I50,180930,6,490044192
C12,I52,180917,7,490044192
C12,I45,190414,10,490044192
C13,I45,190331,4,493597477
C13,I05,190323,2,493597477
C13,I23,190707,1,493597477
C13,I11,190526,6,493597477
C14,I33,190416,7,499544274
C14,I37,180202,8,499544274
C14,I58,181030,1,499544274
C14,I22,190323,1,499544274
C15,I25,180505,10,499544274
C15,I18,190222,7,499544274
C15,I39,180101,4,499544274
C15,I17,181010,1,499544274
C16,I31,180505,10,529551348
C16,I09,190606,1,574429956
C16,I35,181213,5,529551348
C16,I14,180714,5,574429956
C17,I04,190323,6,593653463
C17,I48,190430,1,593653463
C17,I24,180515,7,597299739
C17,I10,180323,3,597299739
C18,I13,180929,8,593653463
C18,I21,190222,10,597299739
C18,I22,190115,8,593653463
C18,I08,180909,1,597299739
C19,I16,180323,3,890136255
C19,I27,190525,9,890136255
C19,I36,180818,1,890136255
C19,I17,190426,4,890136255
C19,I46,190617,5,890136255
C21,I39,181014,10,675478174
C21,I18,181121,1,686827220
C22,I34,180830,2,732497102
C22,I39,180229,8,732497102
C22,I47,180917,2,732497102
C22,I09,190414,1,732497102
C22,I31,190331,5,732497102
C23,I47,190323,3,807738930
C23,I28,180603,2,807738930
C23,I50,190519,6,807738930
C23,I15,180327,9,807738930
C24,I42,181231,3,862793210
C24,I32,180930,5,866490223
C24,I16,190104,6,866490223
C25,I24,190131,1,889539258
C25,I06,181224,10,889539258
C25,I46,180804,2,889539258
C25,I54,190617,10,889539258
C26,I35,180728,9,890136255
C26,I12,190323,3,890136255
C26,I15,181226,1,890136255
C27,I56,181128,2,890864954
C27,I01,180818,2,890864954
C27,I20,190104,2,890864954
C27,I23,180327,1,890864954
C28,I29,180929,5,900015674
C28,I38,181231,1,912541326
C28,I57,180818,7,912541326
C29,I05,180930,4,957947344
C29,I19,180917,2,985216409
C29,I28,190414,8,957947344
C29,I41,190331,1,985216409
