Ccno,Cctype,Expiration,Limit
integer,char15,date,currency
298433300,Visa,191031,4000
732497102,MasterCard,191231,5200
155933579,Visa,200131,2800
196980383,MasterCard,190430,6500
188520364,AmEx,191031,20000
181091540,Visa,210430,1500
406232123,AmEx,200131,3000
866490223,MasterCard,200831,9300
105379286,Visa,200430,5000
493597477,MasterCard,191031,5000
331689915,AmEx,200831,4500
499544274,Visa,210430,1500
340528397,Visa,200131,8100
529551348,MasterCard,200430,8100
574429956,MasterCard,191031,6000
593653463,Visa,191231,3800
675478174,MasterCard,210630,4200
247010852,Visa,190131,3000
889539258,AmEx,191231,7700
490044192,Visa,190131,10000
103570287,MasterCard,210430,10000
890136255,Visa,210430,3000
645826081,AmEx,191231,10000
273726939,Visa,200831,8100
342655122,AmEx,191231,4000
890864954,MasterCard,200831,10000
324728798,Visa,210630,8100
627056460,MasterCard,191031,9300
584249315,Visa,200430,10000
985216409,MasterCard,200430,8100
441247998,AmEx,191031,15000
597299739,MasterCard,200930,11000
912541326,Visa,191231,10000
957947344,AmEx,210430,2900
862793210,Visa,210630,7700
381681932,MasterCard,191031,18000
807738930,AmEx,200930,3900
686827220,Visa,210630,7700
122428087,AmEx,200930,12500
900015674,Visa,210331,3400
