Cid,Ccno
char3,integer
C01,103570287
C01,105379286
C02,122428087
C02,155933579
C03,181091540
C03,188520364
C03,196980383
C04,196980383
C04,247010852
C05,273726939
C05,298433300
C06,298433300
C07,324728798
C08,331689915
C08,340528397
C09,342655122
C09,381681932
C10,406232123
C10,441247998
C11,441247998
C11,490044192
C12,490044192
C13,493597477
C14,499544274
C15,499544274
C16,529551348
C16,574429956
C17,593653463
C17,597299739
C18,593653463
C18,597299739
C19,890136255
C20,627056460
C20,645826081
C21,675478174
C21,686827220
C22,732497102
C23,807738930
C24,862793210
C24,866490223
C25,866490223
C25,889539258
C26,890136255
C27,890864954
C28,900015674
C28,912541326
C29,957947344
C29,985216409
C30,985216409
C30,900015674
